user,tweets,follows
follower1,b'RT @GOP: The Left: An Unhinged Mob. https://t.co/d4YhXrAsXe',user1
follower1,b'@kin_foundation I registered today but never received an email to verify my account. What do I do now?',user1
follower1,b'@JimStoppani I have to take a drug test for my new job. Can I keep taking #prejym and #postjym?',user1
follower1,b'@JimStoppani Any issues taking pre and post while on antibiotics?',user1
follower1,b'RT @FoxNews: WATCH this beautiful time-lapse video of a double rainbow appearing over a mountain in Utah! https://t.co/K0Jq67YWhn',user1
follower1,"b""@JimStoppani I'm 37 and currently don't take AlphaJym. At what level would I need it?""",user1
follower1,b'@JimStoppani Just got my lab results back. Is 741 a good number for T levels?',user1
follower1,b'@jellison76 @MrCarraway23 @22AlFox It certainly adds perspective to lifes bumps and storms!',user1
follower1,"b'@MrCarraway23 @22AlFox ""I am the gardener here, and I know what\'s best for you""! One of my favorite talks from Elder Hugh B. Brown'",user1
follower1,"b""@NRO @realDonaldTrump guarantee he'll appoint Ted Cruz to the Supreme Court!""",user1
follower1,"b""@JimStoppani What's the best way 2 reverse diet after finishing #shortcuttoshred? After I hit my goals I want to maintain #JymArmy #fit4life""",user1
follower1,b'@gravester007 @JimStoppani make sure you thoroughly shake the container before each use! This ensures proper ratios of each ingredient!',user1
follower1,b'@MattWalshBlog Practical yet effective...\xf0\x9f\x98\x82 https://t.co/sfKBHeX9LK',user1
follower1,"b'RT @mormonchannel: ""Don\'t give up what you most want in life for something you think you want now.\xe2\x80\x9d \xe2\x80\x94Richard G. Scott https://t.co/v5dPp8H3\xe2\x80\xa6'",user1
follower1,b'@MattWalshBlog @SMorrison085 Losers who follow someone they disagree with only to be a hater \xf0\x9f\x99\x84 #stayclassy',user1
follower1,"b""@JimStoppani I'm 37 and just got #alphajym. I train first thing in the am, about 40 minutes after waking up. Take alphajym right away?""",user1
follower1,"b""RT @22AlFox: I promise you can still be cool &amp; live the commandments\nIt's like, a thing...\nit happens all the time!\xf0\x9f\x98\x8e""",user1
follower1,"b'RT @MattWalshBlog: Whatever happens with the GOP nom, the fact remains that Trump will never be president. He will lose in the general, and\xe2\x80\xa6'",user1
follower1,"b'How ironic! Do as I say, not as I do; typical approach for amoral people! Great analysis Matt!! https://t.co/yPQwRFGL1Q'",user1
follower1,"b""RT @22AlFox: If we choose Christ,\nwe'll have made the correct choice.""",user1
follower1,b'@MattWalshBlog @HermesDiaktoros relativism breeds sewage indeed! Well said!',user1
follower1,b'Get a clue Trump supporters!  https://t.co/V9AcKRNGWU',user1
follower1,"b""RT @NumbersMuncher: Only 34% believe Hillary's trustworthy and 39% view her favorably yet she still beats Trump by 11!\n\nThats how terrible \xe2\x80\xa6""",user1
