user,tweets,follows
user1,"b'RT @FoxNews: .@HeyTammyBruce on writer calling @SarahHuckabee ""butch queen"": It\'s a strange kind of homophobic transphobic attack on [conse\xe2\x80\xa6'",following1
user1,b'Thanks for joining! https://t.co/ZeD1HIRvnb',following1
user1,b'Thanks for joining! As always it was a great conversation! https://t.co/VYZp0f4dTH',following1
user1,b'.@TulsiGabbard:  I am fighting to stop the use of taxpayer dollars to indirectly or directly fund terrorists #Tucker @FoxNews',following1
user1,b'.@TulsiGabbard: People would rather provide support to Al Qaeda than give up their idea of regime change in #Syria #Tucker @FoxNews',following1
user1,"b'RT @FoxNews: .@David_Bossie on Kushner testifying: ""As a former chief investigator...I wish we had people like Jared Kushner come forward.""\xe2\x80\xa6'",following1
user1,b'.@HeyTammyBruce: The women who support @realDonaldTrump are bullied by the left #Tucker @FoxNews',following1
user1,b'.@David_Bossie: The American people are tired of the #Russia investigation #Tucker @FoxNews',following1
user1,b'.@David_Bossie: Jared Kushner has been very transparent. #Tucker @FoxNews',following1
user1,b'.@krauthammer: The problem for Democrats is that they have been living off their glory days for the last 20 or 30 years #Tucker @FoxNews',following1
user1,b'Do the illegal immigrants here in America help raise the wages of the middle class? #Tucker @FoxNews',following1
user1,b'.@davidcicilline: Democrats have been talking about improving the middle class. We want to raise incomes and reduce costs #Tucker @FoxNews',following1
user1,b'New York Times reporter wonders if white women are racist... because they keep bumping into him in the street. https://t.co/f0kNtL0uSN',following1
user1,"b""Get ready! @GriffJenkins &amp; @edhenry are busy prepping for tonight's news quiz #FinalExam may the best man win!\xe2\x80\xa6 https://t.co/0APaaVKBbK""",following1
user1,"b""Tucker to President Trump: for God's sake, lay off Jeff Sessions. He's your friend, one of the very few you've got\xe2\x80\xa6 https://t.co/MX8kdFkMwF""",following1
user1,"b""Correctional officer wrote a whole chapter in his book about #OJSimpson's private parts. https://t.co/MDXx79tIuN""",following1
user1,"b""TUNE IN! We'll be live at 11 PM to discuss Sen. John McCain and AG Jeff Sessions #Tucker @FoxNews""",following1
user1,b'Rep Steve King: use Planned Parenthood money to build the wall. https://t.co/CXmWLphIli',following1
user1,b'RT @MeghanMcCain: Statement regarding my father @SenJohnMcCain: https://t.co/SMte9Hkwkq',following1
user1,b'A sad update on the health of Senator John McCain https://t.co/yatKMWWDpR',following1
user1,"b'Taliban solider Omar Khadr, who killed an American, is now a millionaire. He says he has found it hard to find a jo\xe2\x80\xa6 https://t.co/6tKBvkvCiR'",following1
