user,tweets
user1,"b'In NYC, looks like another attack by a very sick and deranged person. Law enforcement is following this closely. NOT IN THE U.S.A.!'"
user1,b'U.S. COAL PRODUCTION\nUp\xf0\x9f\x93\x887.8% past year. \nDown\xf0\x9f\x93\x8931.5% last 10 years. \n#EndingWarOnCoal https://t.co/xr20OBb2DV'
user1,b'\xe2\x80\x9cHome Prices Reach New All-Time Highs in August\xe2\x80\x9d Read more: https://t.co/XzJiZgGQ8R https://t.co/STBtR6mO2j'
user1,"b'""Consumer Confidence Hits Highest Level Since December 2000"" Read more: https://t.co/w7WkcobFun https://t.co/nLo5XCnuIx'"
user1,"b""RT @IvankaTrump: We're working to make tax cuts &amp; the expanded Child Tax Credit a reality for American families. The time is now! #TaxRefor\xe2\x80\xa6"""
user1,b'Wishing everyone a safe and Happy Halloween!\n#Halloween2017 https://t.co/BRpgXVRI8Y'
user1,b'Thank you @LuisRiveraMarin! https://t.co/BK7sDv9phU'
user1,b'\xe2\x80\x9cStatement by President Trump on the Apprehension of Mustafa al-Imam for His Alleged Role in Benghazi Attacks\xe2\x80\x9d https://t.co/2U7WJmfGlM'
user1,"b'....earth shattering. He and his brother could Drain The Swamp, which would be yet another campaign promise fulfilled. Fake News weak!'"
user1,"b'The biggest story yesterday, the one that has the Dems in a dither, is Podesta running from his firm. What he know about Crooked Dems is....'"
user1,b'I hope people will start to focus on our Massive Tax Cuts for Business (jobs) and the Middle Class (in addition to Democrat corruption)!'
user1,"b'....came to the campaign. Few people knew the young, low level volunteer named George, who has already proven to be a liar. Check the DEMS!'"
user1,"b'The Fake News is working overtime. As Paul Manaforts lawyer said, there was ""no collusion"" and events mentioned took place long before he...'"
user1,"b'....Also, there is NO COLLUSION!'"
user1,"b""Sorry, but this is years ago, before Paul Manafort was part of the Trump campaign. But why aren't Crooked Hillary &amp; the Dems the focus?????"""
user1,b'Great job by MichaelCaputo on @foxandfriends.'
user1,"b""Report out that Obama Campaign paid $972,000 to Fusion GPS. The firm also got $12,400,000 (really?) from DNC. Nobody knows who OK'd!"""
user1,"b'All of this ""Russia"" talk right when the Republicans are making their big push for historic Tax Cuts &amp; Reform. Is this coincidental? NOT!'"
user1,"b'...are now fighting back like never before. There is so much GUILT by Democrats/Clinton, and now the facts are pouring out. DO SOMETHING!'"
user1,"b'...""collusion,"" which doesn\'t exist. The Dems are using this terrible (and bad for our country) Witch Hunt for evil politics, but the R\'s...'"
user1,"b'...the Uranium to Russia deal, the  33,000 plus deleted Emails, the Comey fix and so much more. Instead they look at phony Trump/Russia,....'"
user1,"b'Never seen such Republican ANGER &amp; UNITY as I have concerning the lack of investigation on Clinton made Fake Dossier (now $12,000,000?),....'"
user1,"b'As usual, the ObamaCare premiums will be up (the Dems own it), but we will Repeal &amp; Replace and have great Healthcare soon after Tax Cuts!'"
user1,"b'JFK Files are released, long ahead of schedule!'"
user1,b'While not at all presidential I must point out that the Sloppy Michael Moore Show on Broadway was a TOTAL BOMB and was forced to close. Sad!'
user1,"b'Happy #FirstRespondersDay to all of our HEROES out there. We are forever grateful to you for your service, sacrific\xe2\x80\xa6 https://t.co/UpEh9uZ9fu'"
user1,b'...in order to put any and all conspiracy theories to rest.'
user1,"b'...addresses of any mentioned person who is still living. I am doing this for reasons of full disclosure, transparency and...'"
user1,"b'After strict consultation with General Kelly, the CIA and other Agencies, I will be releasing ALL #JFKFiles other than the names and...'"
user1,b'Today is National Prescription Drug Take Back Day. Everyone can help fight the #OpioidEpidemic by participating!\xe2\x80\xa6 https://t.co/xOrimTGON5'
user1,b'Just read the nice remarks by President Jimmy Carter about me and how badly I am treated by the press (Fake News). Thank you Mr. President!'
user1,"b""Very little reporting about the GREAT GDP numbers announced yesterday (3.0 despite the big hurricane hits). Best consecutive Q's in years!"""
user1,b'\xe2\x80\x9cWHAT HAPPENED\xe2\x80\x9d\n\n\xe2\x80\x9cHow Team Hillary played the press for fools on Russia\xe2\x80\x9d\n\xe2\x9e\xa1\xef\xb8\x8fhttps://t.co/GqpIidk017\n\nNOW WE KNOW! https://t.co/SgWL1HZmkI'
user1,b'#JFKFiles https://t.co/AnPBSJFh3J'
user1,b'Happy Birthday @TheLeeGreenwood!\n#FlashbackFriday https://t.co/MCrMK6Eurm'
user1,b'People are anxiously awaiting my decision as to who the next head of the Fed will be....\n\xf0\x9f\x8e\xa5https://t.co/PEj1KNYcAO'
user1,b'.@FoxNews Chris Wallace: \xe2\x80\x9cMore evidence of Dem collusion with Russia than GOP\xe2\x80\x9d https://t.co/nACQerJSiu'
user1,b'We are inspired by the stories of everyday heroes who pull their communities from the depths of despair through lea\xe2\x80\xa6 https://t.co/QsxRShJWmQ'
user1,"b'Diane Black of Tennessee, the highly respected House Budget Committee Chairwoman, did a GREAT job in passing Budget, setting up big Tax Cuts'"
user1,b'Thank you @FLGovScott. https://t.co/rgdU9plvFK'
user1,"b'It is now commonly agreed, after many months of COSTLY looking, that there was NO collusion between Russia and Trump. Was collusion with HC!'"
user1,b'Happy birthday to the great @TheLeeGreenwood. You and your beautiful song have made such a difference. MAKE AMERICA GREAT AGAIN!'
user1,b'JFK Files are being carefully released. In the end there will be great transparency. It is my hope to get just about everything to public!'
user1,b'Good luck to @Joy_Villa on her decision to enter the wonderful world of politics. She has many fans!'
user1,"b'Congratulations to @SpeakerRyan, @GOPLeader, @SteveScalise and to the Republican Party on Budget passage yesterday. Now for biggest Tax Cuts'"
user1,b'Thank you @foxandfriends. Really great job and show!'
user1,"b'Wacky &amp; totally unhinged Tom Steyer, who has been fighting me and my Make America Great Again agenda from beginning, never wins elections!'"
user1,"b'WORKING TOGETHER, we will defeat this #OpioidEpidemic &amp; free our nation from the terrible affliction of drug abuse.\xe2\x80\xa6 https://t.co/Mw8xZxOEUn'"
user1,"b'Effective today, my administration officially declared the #OpioidCrisis a NATIONAL PUBLIC HEALTH EMERGENCY under f\xe2\x80\xa6 https://t.co/0DF0lnfKJG'"
user1,b'Big news - Budget just passed!'
user1,b'Do not underestimate the UNITY within the Republican Party!'
user1,"b""Ed Gillespie will be a great Governor of Virginia. His opponent doesn't even show up to meetings/work, and will be VERY weak on crime!"""
user1,"b""Ed Gillespie will turn the really bad Virginia economy #'s around, and fast. Strong on crime, he might even save our great statues/heritage!"""
user1,b'RT @seanhannity: BOOM!!  Tick Tock https://t.co/8E2Lvj3TTa'
user1,b'Will be another Sean success! https://t.co/SlNTENvJLA'
user1,"b""RT @PChowka: Fox News With Hannity's Help Regains Its Ratings Dominance By Peter Barry Chowka at The Hagmann report https://t.co/ICDMCZregu\xe2\x80\xa6"""
