user,tweets
user1,"b""We're still told this poor man killed himself.  https://t.co/moBLh97zrc"""
user1,b'@GArmy666 do you have a link for that?'
user1,b'@armacdonald360 they do deserve a fair punishment.'
user1,b'RT @CrazyWorld463_2: #Protest!! Watch on #Periscope: #AmysArmy #SpeakersCorner\xf0\x9f\x87\xac\xf0\x9f\x87\xa7#London - Chat!\xf0\x9f\x93\xa2\xf0\x9f\x92\xaa\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x99\x8f#HappyEaster #\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xe2\x9b\xaa\xef\xb8\x8f #Isl*micPrayer?!\xf0\x9f\xa4\x94\xe2\x80\xa6 h\xe2\x80\xa6'
user1,"b""@Oldflier49A this story's been doing the rounds on the alternative media for a week already."""
user1,"b'RT @CountDankulaTV: This is the Twitter equivalent of ""I\'m telling on you!"" https://t.co/x9A8HbWDAm'"
user1,b'Foreign aid directly used to preach jihad to children.\nhttps://t.co/FP2sTLafOs'
user1,"b'Brave kids, their parents deserve jail.\nhttps://t.co/eNCrNkWKLN'"
user1,"b'Family of Telford rape victim told they couldn\'t prosecute because 13 year old ""consented"".\nhttps://t.co/2kwv5Wt5CF'"
user1,b'I defy you to name a country in the history of the world greater than America. (Coming from a Brit) https://t.co/05mIO057ha'
user1,"b""If you laugh at this you're a terrible person. https://t.co/xhPtpqthqY"""
user1,"b""@BreitbartNews safe, obviously I'd rather sadiq Kahn filled the capital with sage, but its murder he's given us instead."""
user1,b'Sadiq Kahn makes London less sage than New York for the first time since 1800! Well done Sadiq #recordbreaker  https://t.co/M7x8rZVc4f'
user1,"b'""Being murdered is part and parcel of living in a large city""  https://t.co/T6twXuZLO7'"
user1,"b'@Politikking @Brianthelion11 win or lose, if you start now you could could make a big difference.'"
user1,b'@Politikking @Brianthelion11 I hope you do. An honest concerted effort concentrated on a small community could really have a big effect.'
user1,b'Which of these do you wish was just an #AprilFoodsDay prank? RT to reach a greater sample. Other? Reply below...'
user1,"b""Blair was right about Iraq, and he's right about Brexit. *try saying that with a straight face* https://t.co/dY2fp3HvDk"""
user1,b'Nice to see a real contribution coming from the Labour Party. https://t.co/6Lc9Q7ToRT'
user1,b'Yes @AliDawow . Free speech means the freedom to say outrageous and controversial things. https://t.co/UplVaFRbyF'
user1,b'Only Grexit would free Greece from its prison.\n\nhttps://t.co/U5MNhhGPIP'
user1,b'Did you give your prisoners a fair trial before they were beheaded?\n\nhttps://t.co/nD47k6kXEc'
user1,"b'If you want to live in peace with the Israelis, stop trying to kill them. \n\nhttps://t.co/WPnL0IFVrl'"
